srcStateName,srcYear,srcMonth,Settlement of Integrated goods and services tax ( IGST ),YearCode,Year,MonthCode,Month
Mizoram,2017-18,Sep - 2017,9.244128,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Manipur,2017-18,Sep - 2017,17.1885536,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Nagaland,2017-18,Sep - 2017,9.9493219,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Arunachal Pradesh,2017-18,Sep - 2017,10.3357294,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Sikkim,2017-18,Sep - 2017,6.7459503,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Bihar,2017-18,Sep - 2017,346.1348191,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Rajasthan,2017-18,Sep - 2017,573.7301801,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Delhi,2017-18,Sep - 2017,641.0952109,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Haryana,2017-18,Sep - 2017,113.7607823,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Uttarakhand,2017-18,Sep - 2017,-21.5711008,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Chandigarh,2017-18,Sep - 2017,56.4019194,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Punjab,2017-18,Sep - 2017,449.5899493,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Nagaland,2018-19,Apr - 2018,24.5579785,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Arunachal Pradesh,2018-19,Apr - 2018,30.3893955,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Bihar,2018-19,Apr - 2018,598.092804,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Rajasthan,2018-19,Apr - 2018,723.6805628,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Delhi,2018-19,Apr - 2018,743.8910517,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Goa,2018-19,Apr - 2018,50.0579867,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Uttar Pradesh,2018-19,Apr - 2018,1686.7533992,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Punjab,2018-19,Apr - 2018,516.8904599,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Sikkim,2018-19,Apr - 2018,12.1094438,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Chandigarh,2018-19,Apr - 2018,67.1868713,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Andaman and Nicobar Islands,2018-19,Apr - 2018,16.3535596,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Puducherry,2018-19,Apr - 2018,32.1204349,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Jharkhand,2018-19,Apr - 2018,101.176828,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Telangana,2018-19,Apr - 2018,786.1069488,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Tamil Nadu,2018-19,Apr - 2018,1086.2477052,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Kerala,2018-19,Apr - 2018,802.0735383,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Lakshadweep,2018-19,Apr - 2018,0.5227495,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Karnataka,2018-19,Apr - 2018,1207.9146982,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Maharashtra,2018-19,Apr - 2018,1616.1902801,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Dadra and Nagar Haveli,2018-19,Apr - 2018,2.9451321,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Daman and Diu,2018-19,Apr - 2018,0.3604944,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Gujarat,2018-19,Apr - 2018,552.9103512,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Madhya Pradesh,2018-19,Apr - 2018,774.5630856,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Chhattisgarh,2018-19,Apr - 2018,159.3114377,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
Odisha,2018-19,Apr - 2018,369.9829563,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
