srcStateName,srcYear,srcMonth,Type of supply,E-way suppliers,E-way bills,E-way asset value,YearCode,Year,MonthCode,Month
UTTARAKHAND,2020-21,Apr - 2020,Intra State,3666,80391,1898.226651138,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
HARYANA,2020-21,Apr - 2020,Intra State,11822,212972,5729.203025095,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
DELHI,2020-21,Apr - 2020,Intra State,7630,140445,4296.811147119,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
RAJASTHAN,2020-21,Apr - 2020,Intra State,15409,273673,8140.384770935,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
UTTAR PRADESH,2020-21,Apr - 2020,Intra State,21107,685565,15245.526460491,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
BIHAR,2020-21,Apr - 2020,Intra State,2545,127062,2775.641818131,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
SIKKIM,2020-21,Apr - 2020,Intra State,58,1700,30.324954595,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
ARUNACHAL PRADESH,2020-21,Apr - 2020,Intra State,51,720,11.045510713,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
NAGALAND,2020-21,Apr - 2020,Intra State,20,82,3.25539066,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
MANIPUR,2020-21,Apr - 2020,Intra State,24,779,18.453441519,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
MIZORAM,2020-21,Apr - 2020,Intra State,9,114,2.129626068,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
TRIPURA,2020-21,Apr - 2020,Intra State,323,5109,79.925528242,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
MEGHALAYA,2020-21,Apr - 2020,Intra State,86,1238,48.310503693,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
WEST BENGAL,2020-21,Apr - 2020,Intra State,7810,305480,9013.535355772,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
JHARKHAND,2020-21,Apr - 2020,Intra State,2205,84486,1974.254858451,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
ODISHA,2020-21,Apr - 2020,Intra State,5697,253813,5629.70369304,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
CHHATTISGARH,2020-21,Apr - 2020,Intra State,1866,42708,1112.211193112,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
MADHYA PRADESH,2020-21,Apr - 2020,Intra State,3387,55384,1990.46659396,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
GUJARAT,2020-21,Apr - 2020,Intra State,26738,558958,21574.428152995,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
DAMAN AND DIU,2020-21,Apr - 2020,Intra State,350,5269,126.036491316,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
DADRA AND NAGAR HAVELI,2020-21,Apr - 2020,Intra State,389,5062,260.045251943,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
MAHARASHTRA,2020-21,Apr - 2020,Intra State,21336,677174,23693.24068724,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
KARNATAKA,2020-21,Apr - 2020,Intra State,19122,652086,12967.683114705,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
GOA,2020-21,Apr - 2020,Intra State,705,16649,308.825526335,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
