srcStateName,srcYear,srcMonth,GST ( Goods and Service Tax ) Return Type,Payer eligible for GST ( Goods and Service Tax ) registration,GST ( Goods and Service Tax ) Payers registered before due date,GST ( Goods and Service Tax ) Payers registered after due date,YearCode,Year,MonthCode,Month
Jammu and Kashmir,2017-18,Feb-2018,GSTR-1,27817,18381,4114,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Maharashtra,2017-18,Feb-2018,GSTR-1,352081,279040,38625,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Haryana,2017-18,Feb-2018,GSTR-1,115406,95413,6637,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Bihar,2017-18,Feb-2018,GSTR-3,234730,125500,80447,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Nagaland,2017-18,Feb-2018,GSTR-3,4849,1405,2636,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Puducherry,2017-18,Feb-2018,GSTR-1,10005,7548,1554,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Uttarakhand,2017-18,Feb-2018,GSTR-1,36218,22807,4984,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Himachal Pradesh,2017-18,Feb-2018,GSTR-1,22607,16260,2482,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Telangana,2017-18,Feb-2018,GSTR-3,253873,142081,88282,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Manipur,2017-18,Feb-2018,GSTR-3,8210,2382,4103,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Ladakh,2017-18,Feb-2018,GSTR-1,0,0,0,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Karnataka,2017-18,Feb-2018,GSTR-1,339216,244436,51255,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Jammu and Kashmir,2017-18,Feb-2018,GSTR-3,69822,42923,21846,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Jharkhand,2017-18,Feb-2018,GSTR-1,48997,33138,7863,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Karnataka,2017-18,Feb-2018,GSTR-3,579378,380599,159070,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Mizoram,2017-18,Feb-2018,GSTR-3,3954,1641,1688,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Andhra Pradesh,2017-18,Feb-2018,GSTR-1,136843,102169,17180,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Dadra and Nagar Haveli,2017-18,Feb-2018,GSTR-1,3496,2990,198,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Delhi,2017-18,Feb-2018,GSTR-1,176069,137512,13654,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Uttar Pradesh,2017-18,Feb-2018,GSTR-3,895908,630707,198164,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Tripura,2017-18,Feb-2018,GSTR-3,17347,9247,6416,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Odisha,2017-18,Feb-2018,GSTR-1,65194,36922,10599,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Bihar,2017-18,Jan-2018,GSTR-1,86656,48109,15899,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Manipur,2017-18,Jan-2018,GSTR-3,7971,2230,4138,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Daman and Diu,2017-18,Jan-2018,GSTR-1,2675,2350,137,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Chandigarh,2017-18,Jan-2018,GSTR-3,24572,18534,5087,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Himachal Pradesh,2017-18,Jan-2018,GSTR-1,22180,16298,2222,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Mizoram,2017-18,Jan-2018,GSTR-3,3817,1558,1684,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Meghalaya,2017-18,Jan-2018,GSTR-3,15791,6482,7120,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Delhi,2017-18,Jan-2018,GSTR-3,570701,386553,155654,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Daman and Diu,2017-18,Jan-2018,GSTR-3,5330,3334,1756,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Nagaland,2017-18,Jan-2018,GSTR-1,3224,1513,890,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Jharkhand,2017-18,Jan-2018,GSTR-1,47997,33695,6745,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Jammu and Kashmir,2017-18,Jan-2018,GSTR-3,68002,42155,21168,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Chandigarh,2017-18,Jan-2018,GSTR-1,9745,8292,511,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Punjab,2017-18,Jan-2018,GSTR-1,85473,73073,3577,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Haryana,2017-18,Jan-2018,GSTR-1,113833,95230,5973,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Assam,2017-18,Jan-2018,GSTR-3,116010,50569,47479,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Chhattisgarh,2017-18,Jan-2018,GSTR-1,37890,24703,5771,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Dadra and Nagar Haveli,2017-18,Jan-2018,GSTR-1,3462,2985,185,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Andhra Pradesh,2017-18,Jan-2018,GSTR-3,219257,141222,62823,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
West Bengal,2017-18,Jan-2018,GSTR-1,164959,121834,19706,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Rajasthan,2017-18,Jan-2018,GSTR-1,121543,98827,8485,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Lakshadweep,2017-18,Jan-2018,GSTR-1,185,58,27,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Odisha,2017-18,Jan-2018,GSTR-1,64080,37265,9747,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Goa,2017-18,Jan-2018,GSTR-3,26753,15607,9458,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Dadra and Nagar Haveli,2017-18,Jan-2018,GSTR-3,6964,4365,2203,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
West Bengal,2017-18,Jan-2018,GSTR-3,453793,306431,120840,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Tamil Nadu,2017-18,Jan-2018,GSTR-3,722496,458744,205808,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Gujarat,2017-18,Jan-2018,GSTR-1,232401,204839,13536,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Punjab,2017-18,Jan-2018,GSTR-3,257888,208263,40170,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Tripura,2017-18,Jan-2018,GSTR-3,17122,9277,6246,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Meghalaya,2017-18,Jan-2018,GSTR-1,8752,4358,1903,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Nagaland,2017-18,Jan-2018,GSTR-3,4855,1533,2550,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Puducherry,2017-18,Jan-2018,GSTR-3,16258,10082,5602,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Sikkim,2017-18,Jan-2018,GSTR-1,2072,1424,363,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Jharkhand,2017-18,Jan-2018,GSTR-3,111749,72363,31352,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Andaman and Nicobar Islands,2017-18,Jan-2018,GSTR-1,2484,1091,575,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Rajasthan,2017-18,Jan-2018,GSTR-3,442318,309691,112568,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Telangana,2017-18,Jan-2018,GSTR-3,247652,137576,88146,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Himachal Pradesh,2017-18,Jan-2018,GSTR-3,63084,42168,16676,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Manipur,2017-18,Jan-2018,GSTR-1,4792,2255,811,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Tripura,2017-18,Jan-2018,GSTR-1,7129,4581,1123,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Arunachal Pradesh,2017-18,Jan-2018,GSTR-1,3592,1885,736,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Kerala,2017-18,Jan-2018,GSTR-3,238699,142300,89694,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Odisha,2017-18,Jan-2018,GSTR-3,174193,100133,55320,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Ladakh,2017-18,Jan-2018,GSTR-1,0,0,0,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Uttarakhand,2017-18,Jan-2018,GSTR-1,35615,23140,4530,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Puducherry,2017-18,Jan-2018,GSTR-1,9858,7544,1428,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Uttar Pradesh,2017-18,Jan-2018,GSTR-1,284469,204934,30861,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Sikkim,2017-18,Jan-2018,GSTR-3,4104,2296,1546,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Goa,2017-18,Jan-2018,GSTR-1,11769,8863,1455,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Andhra Pradesh,2017-18,Jan-2018,GSTR-1,134716,102518,15565,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Maharashtra,2017-18,Jan-2018,GSTR-1,348478,280404,35593,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Chhattisgarh,2017-18,Jan-2018,GSTR-3,92590,49384,34660,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Mizoram,2017-18,Jan-2018,GSTR-1,2479,1419,387,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Madhya Pradesh,2017-18,Jan-2018,GSTR-1,99962,72633,11318,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Maharashtra,2017-18,Jan-2018,GSTR-3,1114066,724962,352842,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Karnataka,2017-18,Jan-2018,GSTR-3,568190,380462,150948,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Kerala,2017-18,Jan-2018,GSTR-1,132146,107858,17374,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Uttar Pradesh,2017-18,Jan-2018,GSTR-3,871836,620590,189146,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Bihar,2017-18,Jan-2018,GSTR-3,227120,126359,74145,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Tamil Nadu,2017-18,Jan-2018,GSTR-1,463481,350079,51333,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Madhya Pradesh,2017-18,Jan-2018,GSTR-3,294248,185757,88550,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Haryana,2017-18,Jan-2018,GSTR-3,329345,234939,78355,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Lakshadweep,2017-18,Jan-2018,GSTR-3,257,73,95,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Ladakh,2017-18,Jan-2018,GSTR-3,,,,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Uttarakhand,2017-18,Jan-2018,GSTR-3,102558,60515,31750,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Karnataka,2017-18,Jan-2018,GSTR-1,333690,246359,46391,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Arunachal Pradesh,2017-18,Jan-2018,GSTR-3,6982,2222,3752,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Andaman and Nicobar Islands,2017-18,Jan-2018,GSTR-3,4109,919,2372,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Delhi,2017-18,Jan-2018,GSTR-1,173388,137768,12245,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Gujarat,2017-18,Jan-2018,GSTR-3,712579,520899,175878,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Telangana,2017-18,Jan-2018,GSTR-1,154073,108737,20954,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Assam,2017-18,Jan-2018,GSTR-1,56208,29477,9820,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Jammu and Kashmir,2017-18,Jan-2018,GSTR-1,27196,18497,3718,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018"
Chhattisgarh,2017-18,Jul-2017,GSTR-1,83399,56262,15924,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Ladakh,2017-18,Jul-2017,GSTR-1,0,0,0,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Tamil Nadu,2017-18,Jul-2017,GSTR-1,624866,493847,73564,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Andhra Pradesh,2017-18,Jul-2017,GSTR-1,198028,149926,26333,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Puducherry,2017-18,Jul-2017,GSTR-1,14080,10983,2001,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Andaman and Nicobar Islands,2017-18,Jul-2017,GSTR-1,2489,1384,509,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Telangana,2017-18,Jul-2017,GSTR-1,201614,154366,24416,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Jammu and Kashmir,2017-18,Jul-2017,GSTR-1,52455,38766,7205,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Punjab,2017-18,Jul-2017,GSTR-1,220786,184145,22882,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Uttarakhand,2017-18,Jul-2017,GSTR-3,85370,34316,47222,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Haryana,2017-18,Jul-2017,GSTR-3,260418,159587,97618,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Delhi,2017-18,Jul-2017,GSTR-3,442968,307172,141374,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Chandigarh,2017-18,Jul-2017,GSTR-1,20632,16980,3057,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Rajasthan,2017-18,Jul-2017,GSTR-3,399525,251205,139744,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Uttar Pradesh,2017-18,Jul-2017,GSTR-3,738006,398357,319682,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Bihar,2017-18,Jul-2017,GSTR-3,187455,83443,91930,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Uttarakhand,2017-18,Jul-2017,GSTR-1,85370,59399,15899,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Sikkim,2017-18,Jul-2017,GSTR-3,3154,1941,1086,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Arunachal Pradesh,2017-18,Jul-2017,GSTR-3,4103,1212,2546,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Nagaland,2017-18,Jul-2017,GSTR-3,3917,934,2533,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Haryana,2017-18,Jul-2017,GSTR-1,260418,210196,39417,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Manipur,2017-18,Jul-2017,GSTR-3,4283,1431,2406,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Himachal Pradesh,2017-18,Jul-2017,GSTR-1,53013,41795,6826,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Mizoram,2017-18,Jul-2017,GSTR-3,2451,796,1473,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Tripura,2017-18,Jul-2017,GSTR-3,13528,5590,7307,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Delhi,2017-18,Jul-2017,GSTR-1,442968,372983,60123,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Meghalaya,2017-18,Jul-2017,GSTR-3,11989,3931,7082,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Assam,2017-18,Jul-2017,GSTR-3,97283,37502,48755,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Punjab,2017-18,Jul-2017,GSTR-3,220786,156554,56517,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Rajasthan,2017-18,Jul-2017,GSTR-1,399525,308273,68803,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
West Bengal,2017-18,Jul-2017,GSTR-3,347020,219688,106221,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Jharkhand,2017-18,Jul-2017,GSTR-3,82880,46423,34141,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Odisha,2017-18,Jul-2017,GSTR-3,139875,45509,89446,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Uttar Pradesh,2017-18,Jul-2017,GSTR-1,738006,554678,123699,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Chhattisgarh,2017-18,Jul-2017,GSTR-3,83399,34671,44477,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Madhya Pradesh,2017-18,Jul-2017,GSTR-3,257308,106142,148905,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Gujarat,2017-18,Jul-2017,GSTR-3,564539,311664,243936,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Bihar,2017-18,Jul-2017,GSTR-1,187455,128425,34509,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Daman and Diu,2017-18,Jul-2017,GSTR-3,4349,2952,1375,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Dadra and Nagar Haveli,2017-18,Jul-2017,GSTR-3,5291,3187,1995,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Sikkim,2017-18,Jul-2017,GSTR-1,3154,2521,351,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Maharashtra,2017-18,Jul-2017,GSTR-3,914892,582682,319641,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Karnataka,2017-18,Jul-2017,GSTR-3,503407,264970,234710,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Himachal Pradesh,2017-18,Jul-2017,GSTR-3,53013,31134,19988,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Goa,2017-18,Jul-2017,GSTR-3,22196,10043,11679,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Arunachal Pradesh,2017-18,Jul-2017,GSTR-1,4103,2743,662,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Lakshadweep,2017-18,Jul-2017,GSTR-3,90,25,49,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Kerala,2017-18,Jul-2017,GSTR-3,215930,113438,101722,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Tamil Nadu,2017-18,Jul-2017,GSTR-3,624866,312517,290908,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Nagaland,2017-18,Jul-2017,GSTR-1,3917,2301,813,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Puducherry,2017-18,Jul-2017,GSTR-3,14080,7676,6292,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Andaman and Nicobar Islands,2017-18,Jul-2017,GSTR-3,2489,703,1469,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Telangana,2017-18,Jul-2017,GSTR-3,201614,82109,111950,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Manipur,2017-18,Jul-2017,GSTR-1,4283,2860,604,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Andhra Pradesh,2017-18,Jul-2017,GSTR-3,198028,105432,83996,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Ladakh,2017-18,Jul-2017,GSTR-3,,,,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Jammu and Kashmir,2017-18,Jul-2017,GSTR-3,52455,26501,22932,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Mizoram,2017-18,Jul-2017,GSTR-1,2451,1720,312,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Tripura,2017-18,Jul-2017,GSTR-1,13528,10411,1738,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Meghalaya,2017-18,Jul-2017,GSTR-1,11989,7830,2011,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Chandigarh,2017-18,Jul-2017,GSTR-3,20632,14826,5852,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Assam,2017-18,Jul-2017,GSTR-1,97283,58279,19263,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
West Bengal,2017-18,Jul-2017,GSTR-1,347020,283210,27482,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Jharkhand,2017-18,Jul-2017,GSTR-1,82880,64366,11548,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Odisha,2017-18,Jul-2017,GSTR-1,139875,96806,25564,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Madhya Pradesh,2017-18,Jul-2017,GSTR-1,257308,197192,43136,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Gujarat,2017-18,Jul-2017,GSTR-1,564539,471922,67956,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Daman and Diu,2017-18,Jul-2017,GSTR-1,4349,3701,496,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Dadra and Nagar Haveli,2017-18,Jul-2017,GSTR-1,5291,4544,514,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Maharashtra,2017-18,Jul-2017,GSTR-1,914892,719136,144115,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Karnataka,2017-18,Jul-2017,GSTR-1,503407,384319,74846,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Goa,2017-18,Jul-2017,GSTR-1,22196,18039,2407,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Lakshadweep,2017-18,Jul-2017,GSTR-1,90,44,21,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Kerala,2017-18,Jul-2017,GSTR-1,215930,179651,27423,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017"
Uttarakhand,2017-18,Mar-2018,GSTR-3,107596,60565,35796,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
West Bengal,2017-18,Mar-2018,GSTR-1,472982,343521,86298,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Puducherry,2017-18,Mar-2018,GSTR-3,16887,10322,5927,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Tamil Nadu,2017-18,Mar-2018,GSTR-3,750910,453857,230796,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Kerala,2017-18,Mar-2018,GSTR-3,245761,130090,108287,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Arunachal Pradesh,2017-18,Mar-2018,GSTR-1,8072,3574,2517,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Punjab,2017-18,Mar-2018,GSTR-1,264808,218293,33076,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Jharkhand,2017-18,Mar-2018,GSTR-1,117217,73740,29489,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Lakshadweep,2017-18,Mar-2018,GSTR-3,265,63,107,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Goa,2017-18,Mar-2018,GSTR-3,27578,15496,10207,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Karnataka,2017-18,Mar-2018,GSTR-3,590015,372103,175613,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Sikkim,2017-18,Mar-2018,GSTR-1,4449,2805,1138,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Andaman and Nicobar Islands,2017-18,Mar-2018,GSTR-1,4246,1646,1394,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Odisha,2017-18,Mar-2018,GSTR-1,183516,102084,49461,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Himachal Pradesh,2017-18,Mar-2018,GSTR-3,67470,43082,19781,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Maharashtra,2017-18,Mar-2018,GSTR-3,1148243,730896,378002,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Dadra and Nagar Haveli,2017-18,Mar-2018,GSTR-3,7150,4294,2418,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Bihar,2017-18,Mar-2018,GSTR-1,238741,130725,68613,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
Daman and Diu,2017-18,Mar-2018,GSTR-3,5460,3309,1892,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018"
