srcStateName,srcYear,srcMonth,Central Goods and Services Tax ( CGST ) Revenue,State Goods and Services Tax ( SGST )Revenue,Integrated Goods and Services Tax ( IGST )Revenue,CESS Tax Revenue,YearCode,Year,MonthCode,Month
Ladakh,2021-22,Apr-2021,12.0152225,15.3321484,3.4403618,0.0150816,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Karnataka,2021-22,Apr-2021,2438.1746701,3064.045098,3570.3193571,882.8732616,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Goa,2021-22,Apr-2021,107.4127186,146.8432237,143.8450221,2.6196074,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Tripura,2021-22,Apr-2021,43.532863,56.9328259,9.4508871,0.1555037,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Arunachal Pradesh,2021-22,Apr-2021,43.6541404,51.046122,8.3196114,0.2198403,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Lakshadweep,2021-22,Apr-2021,1.6197587,1.7639026,0.3362398,,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Sikkim,2021-22,Apr-2021,25.0167217,34.938285,197.7491361,0.1485834,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Gujarat,2021-22,Apr-2021,2769.8511117,3323.0405413,2967.1859045,572.2792718,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Telangana,2021-22,Apr-2021,1121.6551247,1460.2838859,1251.0810884,429.1343759,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Andhra Pradesh,2021-22,Apr-2021,804.0424325,1079.0707122,1192.5623921,269.6216572,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Daman and Diu,2021-22,Apr-2021,0.1723809,0.2108619,0.355721,,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
Mizoram,2021-22,Apr-2021,22.1355808,30.1005061,5.0919394,0.0122577,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021"
